coreId,date,year,lengthLW,widthLW,apexLW,posteriorSpotLW,anteriorSpotLW,interspotLW,lengthRW,widthRW,apexRW,posteriorSpotRW,anteriorSpotRW,interspotRW,sex,latitude,longitude
29305b96-a2c9-4f80-ac09-327a572df845,1966-05-21,1966,19.274,10.184,11.183,0,0.866,A,19.225,10.234,8.828,0,0.923,A,male,37.831593,-122.187745
6f695e0a-6da8-487c-bdb0-ae7b73616413,1966-05-21,1966,22.064,10.911,5.758,0,0.598,A,21.983,10.839,5.018,0,0.677,A,male,37.831593,-122.187745
73546100-d380-40ff-bab4-04cd3dd268bc,1977-07-23,1977,26.939999999999998,15.46,0.43999999999999995,0,0.05,8.9999999999999993E-3,27.43,15.35,0.5,0,0.04,8.9999999999999993E-3,male,46.749823,-121.854853
5bbbb37b-e251-444d-8e5f-903a45b92ee2,1965-07-18,1965,24.802,13.116,11.026,0.778,3.805,A,NA,NA,NA,NA,NA,NA,female?,37.53357,-121.560829
0071d149-f187-4256-beca-a79fa63565d2,1918-09-07,1918,22.938,13.115,14.421,0.124,2.122,A,22.938,13.028,12.149,0.115,2.045,A,female,40.0148888,-120.9610634
4140b85c-369c-43d4-8c42-75e156a751cd,1965-05-31,1965,25.23,14.48,2.36,0.29000000000000004,0.39,0.04,25.49,14.18,2.33,0.31,0.37,4.3999999999999997E-2,female,43.947038,-120.756716
bda818a6-abe2-4a8b-abdf-4d88c1dfeff9,1965-07-23,1965,27.39,16.02,1.8199999999999998,0,0.26,0,27.740000000000002,16.009999999999998,1.8599999999999999,NA,0.28,NA,male,55.766088,-120.277278
4f3b3152-2a51-478f-81b5-f0d726d3ba8c,2015-05-17,2015,25.58,14.085,6.847,0,1.882,A,25.199,13.794,11.31,0,2.073,A,male,34.481615,-120.235622
59257c89-7cf1-45aa-8f2f-5c03f69bdf20,1965-06-10,1965,21.237,11.091,11.249,0.169,3.222,A,NA,NA,NA,NA,NA,NA,female?,39.3449915,-120.1832542
a9b7a1bb-ddf7-400f-8559-0739a4c4ccbb,1965-06-10,1965,24.218,12.999,9.385,0,1.489,A,NA,NA,NA,NA,NA,NA,male,39.3449915,-120.1832542
4c690752-875e-41c4-b63d-71a17a8df961,1965-06-10,1965,21.337,11.236,7.506,0,2.013,A,21.861,11.959,6.565,0.018,1.901,A,male,39.3449915,-120.1832542
6e511228-3083-4e56-8c62-ec7d07271071,NA,1969,24.475,13.997,6.674,1.084,3.27,A,24.338,13.03,5.925,1.212,2.893,A,female,34.614431,-120.079868
c07ef479-98b0-4c2a-a012-8e7eeb440d47,2016-05-21,2016,24.154,13.513,7.694,0,0.036,A,24.697,13.9,9.721,0,0.166,A,male,34.576111,-119.942222
0bbcb02b-e6da-4b5e-a5cb-437003dfd8fc,1975-05-25,1975,24.352,13.957,10.834,2.153,3.269,A,24.163,14.331,9.106,1.993,3.415,A,female,34.770539,-119.937641
2feb9a85-ba0d-438f-9c2c-a06b4d19d695,2015-06-02,2015,20.942,13.746,8.747,0,2.168,A,24.044,14.324,9.702,0,2.487,A,male,34.414615,-119.867821
41a2b760-faea-4f06-9cc7-66da8b191cd5,NA,1981,24.299,13.563,9.357,0.07,2.695,6.4000000000000001E-2,24.078,11.627,5.31,1.084,2.597,9.6699999999999994E-2,male,34.413329,-119.860972
a9fb84ca-ec48-4733-92ad-63239159b70c,NA,1981,24.169,14.015,NA,3.758,1.98,A,24.196,13.682,NA,3.507,1.53,A,female,34.413329,-119.860972
6905d06f-99f3-4e3c-9609-457cfd6421ad,2008-04-25,2008,26.211,15.11,10.012,0,1.471,A,25.696,14.703,13.856,0,1.631,A,male,34.413329,-119.860972
b93ab71f-1555-45b5-b168-f31598e4998d,2015-05-05,2015,24.01,12.935,1.234,0,5.742,A,22.492,13.363,0.06,0,1.052,A,male,34.420538,-119.857141
c7e53603-f7be-4dc5-8e62-669fa417d965,NA,NA,25.259999999999998,10.51,0.74,0.42000000000000004,0.53,2.8000000000000001E-2,23.490000000000002,13.16,1.02,0.37,0.5,2.5999999999999999E-2,male,34.4199,-119.8561
0ad59713-24a8-4cd5-8b35-00421b5009b2,2016-05-11,2016,23.825,13.693,3.967,0,1.524,A,21.091,12.208,2.457,0,1.244,A,male,34.441666,-119.848335
350831b6-e95d-45eb-800c-2349e60a5427,2017-05-21,2017,24.774,14.063,0.442,2.042,2.699,A,20.9,13.784,6.089,2.864,3.109,A,female,34.442023,-119.848284
ba2cfea7-341f-42f9-bd7d-96afa0103392,1982-05-19,1982,25.81,14.346,18.831,0.009,2.516,A,26.191,14.252,15.522,0.031,2.431,A,male,34.412534,-119.847305
d97c3358-ad9e-42c5-a7f9-dca880802ce7,1929-06-05,1929,24.91,14.09,3.598,0,2.004,A,25.26,14.21,5.189,0,1.86,A,male,34.412534,-119.847305
0bb8bc31-7fdf-4f11-8337-e2d6288b685e,2015-05-19,2015,20.619,13.617,8.602,0,2.166,A,22.925,14.429,8.994,0,2.489,A,male,34.408606,-119.847083
e40c284f-0271-4495-b9ad-e441867b95fe,2016-04-23,2016,18.737,14.408,10.944,0.454,2.697,A,20.228,14.375,15.095,0.0541,2.685,A,female,34.408606,-119.847083
